"Start Time","End Time","Text","Layer ID"
"00:02:54:03","00:02:56:11","You got a point. A point to point B!Good Job!","1"
"00:02:56:11","00:02:57:23","Congrats.","1"
"00:03:00:06","00:03:03:00","Hey, I, I didn't see anything,","1"
"00:03:03:00","00:03:07:00","but the code triggers this videoif you've completed it, so.","1"
"00:03:07:23","00:03:10:09","Yeah, you completed it.","1"
"00:03:10:09","00:03:11:22","All right, next level.","1"
"00:03:14:12","00:03:16:19","Hey, I'm so happy for you.","1"
"00:03:16:19","00:03:19:19","Yeah.","1"
"00:03:19:19","00:03:21:12","You got it.","1"
"00:03:23:03","00:03:24:06","I don't I don't.","1"
"00:03:24:06","00:03:26:16","Yeah, you did it.","1"
"00:03:26:16","00:03:27:07","Cool.","1"
"00:03:29:13","00:03:29:24","All right.","1"
"00:03:29:24","00:03:31:06","Next level.","1"
"00:03:31:06","00:03:32:11","Good. Yay!","1"
"00:03:36:24","00:03:38:11","Good for you.","1"
"00:03:38:11","00:03:40:09","Yeah! Yay!","1"
"00:03:42:18","00:03:45:22","I hope I I hope all this made it worth it.","1"
"00:03:45:24","00:03:50:18","You know, the challenge was was goodenough, and the reward is well paid off.","1"
"00:03:50:18","00:03:54:00","And here I am to enjoy it with you.","1"
"00:03:54:16","00:03:55:04","You're not.","1"
"00:03:55:04","00:03:57:22","You're not alone in a vacant digital","1"
"00:03:58:24","00:04:01:08","like room.","1"
"00:04:01:08","00:04:03:19","You're here with me.","1"
"00:04:03:19","00:04:06:19","You're friends.","1"
"00:04:08:24","00:04:11:24","Man, we went through this together.","1"
"00:04:13:15","00:04:14:10","You're here","1"
"00:04:14:10","00:04:17:09","with me,and we're having so much fun in this room.","1"
